	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	ld_num_exist_2015	ln_creditamt_ttl_mon_mean	ln_credituse_ttl_mon_mean	ld_num_exist_2015	ln_creditamt_ttl_mon_mean	ln_credituse_ttl_mon_mean
						
bank_pop_soe_dm	-0.8937	-1.1959	3.1255**	-0.8937	-1.1959	3.1255**
	(-0.81)	(-1.03)	(2.57)	(-0.81)	(-1.03)	(2.57)
bank_pop	-0.0980	0.1085	-0.3378	-0.0980	0.1085	-0.3378
	(-0.37)	(0.45)	(-1.25)	(-0.37)	(0.45)	(-1.25)
soe_output_pct	0.8147	1.4977	-4.8881**	0.8147	1.4977	-4.8881**
	(0.67)	(0.74)	(-2.33)	(0.67)	(0.74)	(-2.33)
loans2gdpf	0.0005	-0.0010	-0.0016	0.0005	-0.0010	-0.0016
	(0.21)	(-0.48)	(-0.65)	(0.21)	(-0.48)	(-0.65)
gdppc	0.0575	-0.0195	-0.0211	0.0575	-0.0195	-0.0211
	(1.11)	(-0.82)	(-0.91)	(1.11)	(-0.82)	(-0.91)
population	-0.0184	0.0352	0.0027	-0.0184	0.0352	0.0027
	(-0.45)	(0.91)	(0.06)	(-0.45)	(0.91)	(0.06)
digital_index	-0.0025	0.0019	-0.0061	-0.0025	0.0019	-0.0061
	(-1.33)	(0.26)	(-0.78)	(-1.33)	(0.26)	(-0.78)
Constant	6.7989***	15.4532***	16.4514***	6.7989***	15.4532***	16.4514***
	(15.01)	(9.17)	(9.61)	(15.01)	(9.17)	(9.61)
						
Observations	267	273	273	267	273	273
R-squared	0.023	0.012	0.034	0.023	0.012	0.034
Robust t-statistics in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
